year,postal_code,elevation,forest,urban,other,years_till_next_fire
1997,93527,408,0.421149075201238,0.0032278164223436,0.575623108376418,0
1997,93305,408,0,0.859223300970873,0.140776699029126,
1997,93308,408,0.0226325211915653,0.0511957456038344,0.9261717332046,0
1997,93311,408,0,0.0569625947097223,0.943037405290277,14
1997,93220,408,0.0274896555428218,0.0197925519908316,0.952717792466346,0
1997,93518,408,0.172128808287803,0.000668796345877258,0.827202395366319,0
1997,93251,408,0.000711124039049667,0.0175406999654497,0.9817481759955,0
1997,93226,408,0.259664858423594,0,0.740335141576405,6
1997,93245,248,0,0.0582506869483764,0.941749313051623,
1997,93266,248,0,0.0328587075575027,0.967141292442497,
1997,93202,248,0,0.405806053119209,0.59419394688079,
1997,95485,1343,0.355502828118721,0.00297754937417137,0.641519622507107,6
1997,96130,4258,0.297813701922965,0.0108304161230602,0.691355881953974,2
1997,96109,4258,0.0835123794181761,0.00545724459564319,0.91103037598618,6
1997,96123,4258,0.0620118703038683,0.00334612128958005,0.934642008406551,6
1997,91504,267,0,0.633913395386483,0.366086604613516,20
1997,91606,267,0,0.958720541477327,0.041279458522673,
1997,90640,267,0,0.84658631004751,0.153413689952489,18
1997,91770,267,0,0.864280203672273,0.135719796327727,18
1997,93535,267,0,0.0263142232983123,0.973685776701687,14
1997,90290,267,0.0788414984026014,0.0166780092774733,0.904480492319925,11
1997,91792,267,0.0132262308704383,0.676476698289592,0.310297070839969,
1997,91789,267,0.026361159315149,0.527688250392199,0.445950590292651,
1997,91791,267,0.0125883298777133,0.773946035910238,0.213465634212048,
1997,91723,267,0,0.941709142175469,0.058290857824531,
1997,91773,267,0.0259224912337959,0.382740627823394,0.591336880942809,0
1997,91702,267,0.27937739593207,0.0458241990083161,0.674798405059613,0
1997,91741,267,0.048970291356577,0.287467269856287,0.663562438787135,3
1997,91765,267,0.0836482793456721,0.343469802743203,0.572881917911124,11
1997,90303,267,0,0.929275425105599,0.0707245748944007,
1997,90033,267,0.00844870429534966,0.949080582179623,0.0424707135250266,
1997,90032,267,0,0.720236774980592,0.279763225019407,
1997,90249,267,0,0.954944,0.0450559999999999,
1997,90822,267,0,1,0,
1997,91355,267,0,0.352617784132887,0.647382215867112,10
1997,91350,267,0,0.243201522254145,0.756798477745854,1
1997,91387,267,0.019008141457378,0.0877307652944106,0.893261093248211,0
1997,91001,267,0.0241491872549392,0.447257223343104,0.528593589401956,10
1997,91604,267,0.0157807308970099,0.630099667774086,0.354119601328903,
1997,91402,267,0,0.948256206721837,0.0517437932781627,
1997,91030,267,0,0.699927406210193,0.300072593789806,
1997,91108,267,0.0492957746478873,0.612676056338028,0.338028169014084,
1997,90062,267,0,0.999999999999999,1.11E-16,
1997,90293,267,0,0.68,0.319999999999999,
1997,90292,267,0,0.715555042695592,0.284444957304408,
1997,90003,267,0,0.992248062015503,0.00775193798449613,
1997,90056,267,0,0.740821611740212,0.259178388259787,
1997,90732,267,0.00715424553370671,0.741425125710314,0.251420628755979,
1997,90716,267,0,0.947945567446161,0.0520544325538381,
1997,90805,267,0,0.968579568077088,0.0314204319229118,
1997,90402,267,0.0246913580246913,0.728395061728395,0.246913580246913,
1997,90010,267,0,0.971428571428571,0.0285714285714285,
1997,90073,267,0,0.714285714285714,0.285714285714285,
1997,91040,267,0.00344670210034894,0.268595552090365,0.727957745809285,2
1997,90403,267,0,0.934426229508196,0.0655737704918033,
1997,93550,267,0.14546247880178,0.0509221490292742,0.803615372168945,0
1997,92397,1077,0.382564553770888,0.0502327555006427,0.567202690728468,7
1997,91732,267,0,0.895965035510809,0.10403496448919,
1997,91731,267,0,0.929787895049001,0.0702121049509983,
1997,94949,7,0.276566260835251,0.200726627571,0.522707111593748,
1997,94939,7,0.204479227374906,0.540546166014486,0.254974606610606,
1997,95306,1962,0.0731327648779801,0.000482538392048065,0.926384696729971,6
